ags	source_page_left	source_row	left_ocr	left_pdf	right_ocr	right_pdf	method
01055014	52	11	55 014	55 014	55 014	55 014	source_code_matches_registry
01055015	52	12	55 015	55 015	55 015	55 015	source_code_matches_registry
01055016	52	13	55 616	55 016	55 016	55 016	source_code_matches_registry
01055017	52	14	55 017	55 017	55 017	55 017	source_code_matches_registry
01055018	52	15	55 Gt8	55 (;1!1	55 018	55 018	source_code_matches_registry
01055020	52	16	55 020	55 02~	55 G20	55 020	source_code_matches_registry
01055021	52	17	55 C21	55 021	55 021	55 021	source_code_matches_registry
01055022	52	18	55 (22.	55 022	55 022	55 022	source_code_matches_registry
01055023	52	19	F5 C23	~5 023	55 023	55 023	source_code_matches_registry
01055024	52	20	55 C24	55 C24	55 024	55 024	source_code_matches_registry
01055025	52	21	55 025	55 025	55 C25	55 025	source_code_matches_registry
01055026	52	22	55 626	55 026	55 G26	55 026	source_code_matches_registry
01055027	52	23	55 O27	55 027	55 027	55 027	source_code_matches_registry
01055028	52	24	55 028	55 0?8	55 028	55 028	source_code_matches_registry
01055029	52	25	55 029	55 029	55 029	55 029	source_code_matches_registry
01055031	54	1	55 031	55 031	55 031	55 031	source_code_matches_registry
01055032	54	2	55 032	55 032	55 032	55 032	source_code_matches_registry
01055033	54	3	55 033.	55 033	55 033	55 033	source_code_matches_registry
01055035	54	4	55 035	55 035	55 035	55 035	source_code_matches_registry
01055036	54	5	55 036	55 036	55 036	55 036	source_code_matches_registry
01055037	54	6	55 037	55 037	55 037	55 037	source_code_matches_registry
01055038	54	7	55 038	55 038	55 038	55 038	source_code_matches_registry
01055039	54	8	55 039	55 039	55 039	55 039	source_code_matches_registry
01055040	54	9	55 040	55 040	55 040	55 040	source_code_matches_registry
01055041	54	10	55 047	55 041	55 041	55 041	source_code_matches_registry
01055042	54	11	55 C42.	55 C42	55 042	55 042	source_code_matches_registry
01055043	54	12	55 643	55 C43	55 043	55 043	source_code_matches_registry
01055044	54	13	55 044	55 041t	55 044	55 044	source_code_matches_registry
01055045	54	14	55 045	55 (145	55 045	55 045	source_code_matches_registry
01056001	56	1	56 GO1	56 001	56 001	56 001	source_code_matches_registry
01056002	56	2	56 CO2	56 002	56 002	56 002	source_code_matches_registry
01056003	56	3	56 CO3-	56 C03·	56 003	56 003	source_code_matches_registry
01056004	56	4	56 UC4	56 uC4	56 004	56 004	source_code_matches_registry
01056005	56	5	56 C05	56 005	56 COS	56 005	source_code_matches_registry
01056006	56	6	56 0C6	56 (106	56 006	56 006	source_code_matches_registry
01056008	56	7	56 COR	56 CO~	56 CO8	56 cus	source_code_matches_registry
01056009	56	8	56 (09		56 009	56 009	source_code_matches_registry
01056010	56	9	56 610	56 010	56 C10	56 C10	source_code_matches_registry
01056011	56	10	56 071	56 011	56 011	56 011	source_code_matches_registry
01056013	56	11	56 013	56 013	56 013	56 013	source_code_matches_registry
01056014	56	12	5¢ O14	5f 014	56	56 014	source_code_matches_registry
01056015	56	13	5é 015	5f 015	56 015	56 015	source_code_matches_registry
01056016	56	14	56 C16	56 (16	56 016	56 016	source_code_matches_registry
01056017	56	15	5é G17	56 ~17	56 017	56 017	source_code_matches_registry
01056018	56	16	£6 18	~6 01~	56 018	56 018	source_code_matches_registry
01056019	56	17	56 U19	51 ü19	56 019	56 019	source_code_matches_registry
01056020	56	18	Fé C20	~~ 020	56 020	56 020	source_code_matches_registry
01056021	56	19	56 621	56 021	56 021	56 021	source_code_matches_registry
01056022	56	20	56 C22.	56 022	56 022	56 022	source_code_matches_registry
01056023	56	21	56 C23.	56 023	- 56 023	56 023	source_code_matches_registry
01056024	56	22	56 626	56 024	56 024	56 024	source_code_matches_registry
01056025	56	23	56 025	56 025	56 025	56 025	source_code_matches_registry
01056026	56	24	56 C26	56 026	56 026	56 026	source_code_matches_registry
01056027	56	25	56 G27	56 027	56 027	56 027	source_code_matches_registry
01056028	58	1	56 028	56 028	56 028	56 028	source_code_matches_registry
01056029	58	2	56 029	56 029	56 029	56 029	source_code_matches_registry
01056030	58	3	56 039°	56 030.	56 030	56 030	source_code_matches_registry
01056031	58	4	56 031	56 031	56 631	56 031	source_code_matches_registry
01056032	58	5	56 932	56 032	56 032	56 032	source_code_matches_registry
01056033	58	6	56 33	5~ u33	56 033	56 033	source_code_matches_registry
01056034	58	7	b6 034	~6 04	56 034	56 034	source_code_matches_registry
01056035	58	8	56 G35	56 (3<;	56 035	56 035	source_code_matches_registry
01056036	58	9	56 036	56 036	56 636	56 036	source_code_matches_registry
01056037	58	10	56 037	56 ~37	56 C37	56 037	source_code_matches_registry
01056038	58	11	56 038	56 03~	56 038	56 038	source_code_matches_registry
01056039	58	12	56 039	56 039	56 039	56 039	source_code_matches_registry
01056040	58	13	56 049	56 ('4~	56 040	56 040	source_code_matches_registry
01056041	58	14	56 641	56 041	56 041	56 041	source_code_matches_registry
01056042	58	15	56 042	5f 042	56 G42	56 (;42	source_code_matches_registry
01056043	58	16	56 043	5~ 043	56 043	56 043	source_code_matches_registry
01056044	58	17	56 644	56 044	56 044	56 044	source_code_matches_registry
01056045	58	18	56 €45	56 (45	56 045	56 045	source_code_matches_registry
01056046	58	19	56 046	56 046	56 046	56 046	source_code_matches_registry
01056047	58	20	56 647	56 047	56 047	56 u47	source_code_matches_registry
01056048	58	21	56 C48	5t. f4~	56 048	56 048	source_code_matches_registry
01056049	58	22	56 C45	56 049	56 049	56 (149	source_code_matches_registry
01056050	58	23	56 (50	56 l5Q	56 050	56 050	source_code_matches_registry
01056051	58	24	56 C51	56 051	56 051	56 051	source_code_matches_registry
01057001	60	1	57 001	57 001	57 001	57 001	source_code_matches_registry
01057002	60	2	57 O02	57 002	57 002	57 002	source_code_matches_registry
01057003	60	3	57 C03	57 003	57 003	57 003	source_code_matches_registry
01057004	60	4	57 064	57 004	57 GO4	57 004	source_code_matches_registry
01057005	60	5	57 005	57 005	57 005	57 005	source_code_matches_registry
01057006	60	6	57 006	57 006	57 006	57 006	source_code_matches_registry
01057007	60	7	57 CO?	57 CO?	57 007	57 (107	source_code_matches_registry
01057008	60	8	E7 G08	~7 (108	57 008	57 008	source_code_matches_registry
01057009	60	9	57 G69	57 (o(i9	57 C09	57 (•09	source_code_matches_registry
01057010	60	10	57 G19	57 l•1 J	57 010	57 010	source_code_matches_registry
01057011	60	11	57 011	57 (111	57 011	57 011	source_code_matches_registry
01057012	60	12	57 612	57 012	57 012	57 012	source_code_matches_registry
01057013	60	13	E7? GIA	~7 (,1 ?o	57 013	57 013	source_code_matches_registry
01057015	60	14	57 (15	0,7 f'1'i	57 015	57 015	source_code_matches_registry
01057016	60	15	57 016	'J7 016	57 016	57 016	source_code_matches_registry
01057017	60	16	57 C17	57 (;17	57 017	57 017	source_code_matches_registry
01057018	60	17	87 O18	~· 7 (.'18	57 018	57 018	source_code_matches_registry
01057020	60	18	57 020	57 ll20	57 020	57 020	source_code_matches_registry
01057021	60	19	57 O21	57 (1(1	57 021	57 021	source_code_matches_registry
01057022	60	20	57 (22.	57 ,., 2	57 022	57 022	source_code_matches_registry
01057023	60	21	57 223	0,7 C'23	57 023	57 023	source_code_matches_registry
01057024	60	22	57 24	57 024	57 024	57 024	source_code_matches_registry
01057025	60	23	57 G25	57 (,2~	57 025	57 025	source_code_matches_registry
01057026	60	24	57 C26	57 026	57 026	57 026	source_code_matches_registry
01057027	60	25	57 G27	57 G27	57 027	57 027	source_code_matches_registry
01057028	62	1	57 628	57 028	57 C28	57 028	source_code_matches_registry
01057029	62	2	57 029	57 029	57 029	57 029	source_code_matches_registry
01057030	62	3	57 030:	57 03fr	57 030	57 030	source_code_matches_registry
01057031	62	4	57 C31	57 031	57 031	57 031	source_code_matches_registry
01057032	62	5	57 032	57 03 2	57 032	57 032	source_code_matches_registry
01057033	62	6	57 033	57 033	57 033	57 033	source_code_matches_registry
01057034	62	7	57 C34	57 034	57 034	57 034	source_code_matches_registry
01057035	62	8	©7 635	~7 G35	57 035	57 035	source_code_matches_registry
01057036	62	9	57 036	57 036	57 036	57 036	source_code_matches_registry
01057037	62	10	57 (37	57 G37	57 937	57 ()37	visual
01057038	62	11	57 (38	57 038	57 038	57 038	source_code_matches_registry
01057039	62	12	57 C39	57 C39	57 G39	57 039	source_code_matches_registry
01057040	62	13	57 C40	57 C'40	57 940	57 040	source_code_matches_registry
01057041	62	14	57 041	57 Ll41	57 041	57 041	source_code_matches_registry
01057042	62	15	57 42	57 r:42	57 042	57 C'42	source_code_matches_registry
01057043	62	16	57 643	57 f·43	57 043	57 043	source_code_matches_registry
01057044	62	17	57 044	57 r44	57 044	57 044	source_code_matches_registry
01057045	62	18	87 €45	57 (4<;	57 045	57 045	source_code_matches_registry
01057046	62	19	57 646	~7 L46	57 046	57 046	source_code_matches_registry
01057047	62	20	57 C47	57 047	57 047	57 047	source_code_matches_registry
01057048	62	21	57 C48	57 C48	57 048	57 048	source_code_matches_registry
01057049	62	22	57 G49	57 t49	57 049	57 049	source_code_matches_registry
01057050	62	23	57 €50	57 C50	57 050	57 050	source_code_matches_registry
01057051	62	24	57 051	57 051	57 051	57 051	source_code_matches_registry
01057052	62	25	57 C52	57 052	57 052	57 052	source_code_matches_registry
01057053	64	1	57 053.	57 053	57 053	57 053	source_code_matches_registry
01057054	64	2	57 054	57 054	57 054	57 05ft	source_code_matches_registry
01057055	64	3	57 055	57 055	57 055	57 055	source_code_matches_registry
01057056	64	4	57 C56	57 056	57 056	57 056	source_code_matches_registry
01057057	64	5	57 057	57 057	57 057	57 057	source_code_matches_registry
01057058	64	6	57 058	57 058	57 058	57 058	source_code_matches_registry
01057059	64	7	57 059	57 059	57 059	57 059	source_code_matches_registry
01057060	64	8	57 060	57 060	57 G60	57 060	source_code_matches_registry
01057062	64	9	57 C62	57 ('t;2	57 062	57 062	source_code_matches_registry
01057063	64	10	57 063	57 063	57 063	57 063	source_code_matches_registry
01057064	64	11	57 C64	57 C64	57 064	57 064	source_code_matches_registry
01057065	64	12	57 065	57 Ob5	57 065	57 065	source_code_matches_registry
01057066	64	13	57 066	57 01>6	57 066	57 066	source_code_matches_registry
01057067	64	14	57 067	57 06 7	57 067	57 067	source_code_matches_registry
01057068	64	15	57 C68	57 C68	57 068	57 068	source_code_matches_registry
01057069	64	16	&7 C69	~,7 G6'1	57 069	57 069	source_code_matches_registry
01057070	64	17	57 679	57 070	57 070	57 070	source_code_matches_registry
01057071	64	18	57 071	':>7 U71	57 071	57 071	source_code_matches_registry
01057072	64	19	57 C72.	57 1..'72	57 072	57 072	source_code_matches_registry
01057073	64	20	57 673	57 (,73	57 073	57 073	source_code_matches_registry
01057074	64	21	57 C74	57 c-74	57 074	57 074	source_code_matches_registry
01057076	64	22	57 C76	57 076	57 076	57 076	source_code_matches_registry
01057077	64	23	57 C77.	57 C77	57 077	57 077	source_code_matches_registry
01057078	64	24	57 C78	57 C78	57 078	57 078	source_code_matches_registry
01057079	64	25	57 079	57 079	57 079	57 079	source_code_matches_registry
01057080	66	1	57 080	57 080	57 080	57 080	source_code_matches_registry
01057081	66	2	57 081	57 081	57 081	57 081	source_code_matches_registry
01057082	66	3	57 082.	57 082	57 082	57 Ol!2	source_code_matches_registry
01057083	66	4	57 C83	57 083	57 083	57 083	source_code_matches_registry
01057084	66	5	57 084	57 084	57 084	57 084	source_code_matches_registry
01057085	66	6	57 085	57 OP5	57 085	57 085	source_code_matches_registry
01057086	66	7	57 O86	57 Olt6	57 086	57 086	source_code_matches_registry
01057087	66	8	57 C8?	re 57 7	57 087	57 087	source_code_matches_registry
01057088	66	9	57 CRB	57 ('88	57 088	57 068	source_code_matches_registry
01057089	66	10	57 C89	':>7 G89	57 089	57 089	source_code_matches_registry
01057090	66	11	57 C90	57	57 090	57 090	source_code_matches_registry
01058001	68	1	58 001	58 001	58 001	58 001	source_code_matches_registry
01058002	68	2	58 002	58 002	58 002	58 002	source_code_matches_registry
01058003	68	3	58 003.	58 003	58 003	58 003	source_code_matches_registry
01058004	68	4	58 004	58 004	58 004	58 004	source_code_matches_registry
01058005	68	5	-58 005	58 005	58 005	58 005	source_code_matches_registry
01058007	68	6	58 007	58 007	58 007	58 007	source_code_matches_registry
01058008	68	7	58 CO8	!'8 008	58 GOB	58 008	source_code_matches_registry
01058009	68	8	5& GO9	5& 009	58 009	58 009	source_code_matches_registry
01058010	68	9	58 010	58 010	58 010	58 010	source_code_matches_registry
01058011	68	10	56 011	5& 011	58 011	58 011	source_code_matches_registry
01058012	68	11	58 G12	58 (112	58 012	58 012	source_code_matches_registry
01058013	68	12	58 C13.	58 C13	5@ 013	58 013	source_code_matches_registry
01058014	68	13	52 014	5f 014	58 014	58 014	source_code_matches_registry
01058015	68	14	58 015	58 015	5& 015	58 015	source_code_matches_registry
01058016	68	15	58 C16	58 016	58 016	58 016	source_code_matches_registry
01058017	68	16	58 017	51! 017	58 017	58 017	source_code_matches_registry
01058018	68	17	58 018	58 018	58 018	58 018	source_code_matches_registry
01058019	68	18	5&8 019	58 019	58 019	58 019	source_code_matches_registry
01058021	68	19	58 G21	58 (,21	58 021	58 021	source_code_matches_registry
01058022	68	20	EB 022	!'8 (>22	58 C22	58 022	source_code_matches_registry
01058023	68	21	5& 023	56 023	58 023	58 023	source_code_matches_registry
01058024	68	22	58 024	58 024	58 024	58 024	source_code_matches_registry
01058025	68	23	58 025	58 025	58 025	58 025	source_code_matches_registry
01058026	68	24	5&8 026	56 026	58 026	58 026	source_code_matches_registry
01058027	68	25	58 027	51' 027	58 027	58 027	source_code_matches_registry
01058028	70	1	58 C28	58 C28	"""58 028"	58 028	source_code_matches_registry
01058029	70	2	58 029	58 029	5&8 029	58 029	source_code_matches_registry
01058030	70	3	58 030	58 030	58 030	58 030	source_code_matches_registry
01058031	70	4	58 031	58 031	58 031	58 031	source_code_matches_registry
01058032	70	5	58 032	58 032	58 032	58 032	source_code_matches_registry
01058033	70	6	5& ©33	~~ C•33	58 033	58 033	source_code_matches_registry
01058034	70	7	58 034	5~ 034	"""68 034"	58 034	source_code_matches_registry
01058035	70	8	FR C35	~p L35	58 035	58 035	source_code_matches_registry
01058036	70	9	5E C36	SB 036	58 036	58 036	source_code_matches_registry
01058037	70	10	58 C37	58 037	58 C37	58 (:3 7	source_code_matches_registry
01058038	70	11	5 038	51' ü38	58 038	58 038	source_code_matches_registry
01058039	70	12	5—& 639	5f 039	58 639	5P 039	visual
01058040	70	13	FE C49	C4'J ~E	58 640	58 040	source_code_matches_registry
01058042	70	14	5& 042	5f 042	58 042	58 042	source_code_matches_registry
01058043	70	15	58 43	58 043	58 043	58 C43	source_code_matches_registry
01058044	70	16	EB C44	58 \44	58 044	58 044	source_code_matches_registry
01058045	70	17	58° 045	5~ 045	5& 045	58 1'45	source_code_matches_registry
01058046	70	18	56 046	5f 046	58 046	58 046	source_code_matches_registry
01058047	70	19	5P C47	5~ f47	58 047	58 047	source_code_matches_registry
01058048	70	20	5€ 048	5f 04P	5E 048	5f 048	visual
01058049	70	21	58 C49	5~ r49	5R 049	51l 049	source_code_matches_registry
01058050	70	22	56 O5C	~·c 05C	58 050	58 05('1	source_code_matches_registry
01058051	70	23	58 051	58 051	58 051	58 051	source_code_matches_registry
01058052	70	24	58 052	5~ 0~2	58 052	58 052	source_code_matches_registry
01058053	70	25	58 053.	58 053	58 053	58 053	source_code_matches_registry
01058054	72	1	£8 654	~p. ()54	58 C54	58 C54	source_code_matches_registry
01058055	72	2	5€ G55	5E 055	5§ 055	58 055	source_code_matches_registry
01058056	72	3	58 G56.	SP 05b	58 O56	58 (•56	source_code_matches_registry
01058057	72	4	52 G57	~E 057	58 (57	58 C57	source_code_matches_registry
01058058	72	5	SE O58	51' 058	58 O58	58 058	source_code_matches_registry
01058059	72	6	5& €59	5f C59	58 059	58 ('59	source_code_matches_registry
01058061	72	7	SP 66%	•,p C•61	58 661	5E C61	visual
01058062	72	8	Fe C62	<c. CU	58 062	58 062	source_code_matches_registry
01058063	72	9	SF 0632	~F (.t,~	58 C63	58 063	source_code_matches_registry
01058064	72	10	52 764	~~ ~64	SE 064	51' ü64	visual
01058065	72	11	SF G6S	',f <,i;L,	58 065	58 065	source_code_matches_registry
01058066	72	12	Fe €66	'i lt~	ER 066	51' 066	visual
01058067	72	13	S§ G67	Sf (<67	5E 067	SE (•6 7	visual
01058068	72	14	SE €6&	'•f ( 6f	58 068	58 068	source_code_matches_registry
01058069	72	15	BF (69	~,< ( 1:>0	53 C69	sa c·t9	visual
01058070	72	16	SE 7%	"'•( 1• . 7""·"	56 G70	58 070	source_code_matches_registry
01058071	72	17	SF C71	~f '71	5& 0714	58 C'71	visual
01058072	72	18	, RS C7?)	~' l7?	58 O72	58 072	source_code_matches_registry
01058073	72	19	&2 073	~-( .73	58 O73	5~ 073	source_code_matches_registry
01058074	72	20	SE U74	5~ ~74	5E 74	5~ 074	visual
01058075	72	21	BE O75	~-i (.·7~	5& C75	5f' 075	source_code_matches_registry
01058076	72	22	5§ C76	5f (;76	58 C76	58 076	source_code_matches_registry
01058077	72	23	Sie C77	5Ä 077	5& G77	5!s 077	visual
01058078	72	24	£& G72	~c- (;7A	58 C78	58 C78	source_code_matches_registry
01058080	72	25	FE C83	~t (;8)	5& G86	58 (;80	visual
01058081	74	1	58 081	58 v81	58 081	58 081	source_code_matches_registry
01058082	74	2	58 C82	58 082	58 082	58 082	source_code_matches_registry
01058083	74	3	5° 0&3	5~ 063	58 683	58 083	source_code_matches_registry
01058084	74	4	58. 084	58 084	58 084	58 084	source_code_matches_registry
01058085	74	5	58 G85	se (;85	52 085	58 085	source_code_matches_registry
01058086	74	6	5& G86	"""\Ii (;8f>"	58 086	58 086	source_code_matches_registry
01058087	74	7	56 G87	5f. <..F-7	58 087	58 087	source_code_matches_registry
01058088	74	8	Ef C@S	"!""f ('8~"	58 O88	51! 088	source_code_matches_registry
01058089	74	9	58 C89	58 089	58 089	5!' 089	source_code_matches_registry
01058090	74	10	GE U9	5f.. U90	5& 90	5b 090	visual
01058091	74	11	BE C91	"~"" C91"	58 691	5E 091	visual
01058092	74	12	5k UG2	~p 09?	58 092	58 092	source_code_matches_registry
01058093	74	13	5£ 093	~[ (193	58 093	58 093	source_code_matches_registry
01058094	74	14	ER C94	!;.~ 094	58 C94	58 C94	source_code_matches_registry
01058096	74	15	5& C96	!>f- C'96	58 096	58 096	source_code_matches_registry
01058097	74	16	5& O97	5f. 097	58 097	58 097	source_code_matches_registry
01058098	74	17	5% G98	51\ (J9f.	58 098	58 098	source_code_matches_registry
01058099	74	18	58 G99	58 C99	58 099	58 099	source_code_matches_registry
01058100	74	19	5& 109	5f 1 0·:1	58 100	58 100	source_code_matches_registry
01058101	74	20	5B 1G1	58 1 C·1	58 101	58 101	source_code_matches_registry
01058102	74	21	5& 162	5b 1(;2	58 102	58 102	source_code_matches_registry
01058103	74	22	S& 103	Sf 103	58 103	58 103	source_code_matches_registry
01058104	74	23	5€ 124	58 1:'4	58 104	58 104	source_code_matches_registry
01058105	74	24	5& 105	5f· 105	58 105	58 105	source_code_matches_registry
01058106	74	25	58 106	58 106	58 106	58 106	source_code_matches_registry
01058107	76	1	5& 107	5f 107	5&8 107	5!'. 107	source_code_matches_registry
01058108	76	2	5&8 108	58 1C8	58 108	58 108	source_code_matches_registry
01058109	76	3	5& 109-	58 109·	5@ 109	58 109	source_code_matches_registry
01058110	76	4	&2 119	5! 11J	58 110	58 110	source_code_matches_registry
01058111	76	5	5®@ 111	5P 111	5&8 111	58 111	source_code_matches_registry
01058112	76	6	5&6 112	5f 112	6& 142	58 112	source_code_matches_registry
01058113	76	7	£& 143	58 11~	58 113	58 113	source_code_matches_registry
01058115	76	8	5% 115	5r. 11'>	58 115	58 115	source_code_matches_registry
01058116	76	9	5& 116	~,F, 116	5&8 116	58 11 b	source_code_matches_registry
01058117	76	10	SF 117	~~ 117	58 117	58 117	source_code_matches_registry
01058118	76	11	"""6 118"	' .. f 1H	58 118	58 118	source_code_matches_registry
01058119	76	12	56 119	~·! 119	58 119	58 119	source_code_matches_registry
01058120	76	13	5F 1229	5f 1~~	58 120	58 120	source_code_matches_registry
01058121	76	14	F& 121	,.Ii 121	58 421	58 121	source_code_matches_registry
01058122	76	15	Ee 122	<.< 122	52 122	58 1 ?2	visual
01058123	76	16	S& 123	~~ 12;>.	5@ 123	58 123	source_code_matches_registry
01058124	76	17	SR 124	5~ 124	5&8 124	58 124	source_code_matches_registry
01058125	76	18	©F YZ	~F 1~~	58 125	58 125	source_code_matches_registry
01058126	76	19	5& 126	~f 1?t	5& 126	58 126	source_code_matches_registry
01058127	76	20	£2 727	:~ 1Z7	58 127	58 127	source_code_matches_registry
01058128	76	21	fe 428	~ f 1 2 ~	58 128	58 128	source_code_matches_registry
01058129	76	22	5E 129	~E 129	5@ 129	5!' 129	visual
01058130	76	23	5& 133	5f 13~	58 130	58 130	source_code_matches_registry
01058131	76	24	5& 131	5f 131	58 131	58 131	source_code_matches_registry
01058132	76	25	£&E 432	~6 132	58 132	58 132	source_code_matches_registry
01058133	78	1	58 133	58 133	58 133	58 133	source_code_matches_registry
01058134	78	2	8 134	!'8 134	58 134	58 134	source_code_matches_registry
01058135	78	3	58 135.	58 135.	58 135	58 135	source_code_matches_registry
01058136	78	4	. 58 136	58 136	58 136	58 136	source_code_matches_registry
01058137	78	5	58 137	5f 137	58 137	58 137	source_code_matches_registry
01058138	78	6	58 138	58 138	58 138	58 138	source_code_matches_registry
01058139	78	7	S& 139	!;f 139	58 139	58 139	source_code_matches_registry
01058140	78	8	Se 14)	5o 14J	58 140	58 140	source_code_matches_registry
01058141	78	9	5& 141	5h 141	58 141	58 141	source_code_matches_registry
01058142	78	10	58 142	~8 142	5&8 142	58 142	source_code_matches_registry
01058143	78	11	5E 143	<,f 143	58 143	58 143	source_code_matches_registry
01058144	78	12	5E 144	~f 144	58 144	58 144	source_code_matches_registry
01058145	78	13	£6 145	~& 145	58 145	58 145	source_code_matches_registry
01058146	78	14	52 146	~p 146	58 146	58 146	source_code_matches_registry
01058147	78	15	£8 147	~R 147	58 147	58 147	source_code_matches_registry
01058148	78	16	ER 148	5F 14R	58 148	56 148	source_code_matches_registry
01058150	78	17	58 762	~~ 1~~	58 150	58 150	source_code_matches_registry
01058151	78	18	5f 151	'if 151	5e@ 151	5f 151	visual
01058152	78	19	SE 452	~f 152	5@ 152	51! 152	visual
01058153	78	20	5& 1£3	5f. 1~3	58 153	58 153	source_code_matches_registry
01058154	78	21	58 454	5~ 154	58 154	58 154	source_code_matches_registry
01058155	78	22	5E 155	5E 155	58 155	58 155	source_code_matches_registry
01058156	78	23	£& 156	5!! 156	58 156	58 156	source_code_matches_registry
01058157	78	24	§&§ 157	5S 157	58 157	58 157	source_code_matches_registry
01058158	78	25	5& 158	58 158	58 158	58 158	source_code_matches_registry
01058159	80	1	5&6 159	58 159	58 159	51! 159	source_code_matches_registry
01058160	80	2	58 160	58 160	58 160	58 160	source_code_matches_registry
01058161	80	3	58 161.	58 161	58 161	58 161	source_code_matches_registry
01058162	80	4	58 162	58 162	58 162	58 162	source_code_matches_registry
01058163	80	5	58 163	58 163	58 163	58 163	source_code_matches_registry
01058164	80	6	5&@ 164	5~ 164	58 164	58 164	source_code_matches_registry
01058165	80	7	5&8 165	58 165	58 165	58 165	source_code_matches_registry
01058166	80	8	5& 166	51\ Hf.	58 166	58 166	source_code_matches_registry
01058167	80	9	56 167	Sf; 167	58 167	58 167	source_code_matches_registry
01058168	80	10	£F 168	~p 16~	58 168	58 168	source_code_matches_registry
01058169	80	11	58 169	~8 169	58 169	58 169	source_code_matches_registry
01058170	80	12	SE 4735	<,F. 17:)	5&8 170	58 170	source_code_matches_registry
01058171	80	13	£8 171	~8 171	58 171	58 171	source_code_matches_registry
01058172	80	14	58 172	!i? 172	58 172	58 172	source_code_matches_registry
01058173	80	15	§& 173	SE 173	58 173	58 173	source_code_matches_registry
01058174	80	16	SE 174	~I:: 174	58 174	58 174	source_code_matches_registry
01059001	82	1	59 001	59 001	59 001	59 001	source_code_matches_registry
01059002	82	2	59 OC2	59 OC2	59 CC2	59 C02	source_code_matches_registry
01059005	82	3	55 OOS	5'7 005	59 005	59 005	source_code_matches_registry
01059006	82	4	59 026	59 O:J6	59 006	59 006	source_code_matches_registry
01059008	82	5	59 GO8	59 (·08	59 GO8	59 008	source_code_matches_registry
01059009	82	6	59 (C9	59 rr9	59 069	59 0(;9	visual
01059010	82	7	59 019	59 010	59 010	59 010	source_code_matches_registry
01059011	82	8	59 611	59 C•1 1	59 011	59 011	source_code_matches_registry
01059012	82	9	59 C12	59 C12	59 012	59 012	source_code_matches_registry
01059014	82	10	59 O14	59 014	59 014	59 014	source_code_matches_registry
01059016	82	11	59 U16	59 l•1 6	59 C16	59 C16	source_code_matches_registry
01059018	82	12	5Y G18	c;9 (~1 !I	59 018	59 018	source_code_matches_registry
01059019	82	13	56 C19	59 C19	59 019	59 019	source_code_matches_registry
01059020	82	14	69 C20	59 (.2(;	59 029	59 020	source_code_matches_registry
01059021	82	15	BS C21	C.21 ~g	59 C21	59 021	source_code_matches_registry
01059022	82	16	5Q 022	!i9 ('22	59 022	59 022	source_code_matches_registry
01059023	82	17	59 €23	59 (23	59 023	59 023	source_code_matches_registry
01059024	82	18	£9 G24	~·9 (J24	59 024	59 024	source_code_matches_registry
01059026	82	19	59 (26	59 ( 2to	59 026	59 026	source_code_matches_registry
01059032	82	20	59 G32	'-9 032	59 632	59 032	source_code_matches_registry
01059033	82	21	5° ¢33	59 C33	59 033	59 033	source_code_matches_registry
01059034	82	22	59 634	59 l-34	59 034	59 034	source_code_matches_registry
01059035	82	23	59 C35	59 05	59 035	59 035	source_code_matches_registry
01059037	82	24	59 037	59 037	59 037	59 037	source_code_matches_registry
01059038	82	25	59 638	59 Ci38	59 038	59 038	source_code_matches_registry
01059039	84	1	59 039	59 039	59 039	59 039	source_code_matches_registry
01059041	84	2	59 041	59 041	59 041	59 041	source_code_matches_registry
01059042	84	3	59 042	59 042	59 042	59 042	source_code_matches_registry
01059043	84	4	, 59 043	~9 043	59 043	59 043	source_code_matches_registry
01059044	84	5	F9 044	~9 044	59 044	59 044	source_code_matches_registry
01059045	84	6	59 945	59 045	59 045	59 045	source_code_matches_registry
01059047	84	7	59 G47	59 (..47	59 647	59 047	source_code_matches_registry
01059049	84	8	59 649	'i9 (49	59 049	59 049	source_code_matches_registry
01059050	84	9	59 (5G	59 (15L'	59 C50	59 050	source_code_matches_registry
01059051	84	10	65S CET	"~"" C~1"	59 051	59 051	source_code_matches_registry
01059053	84	11	£4 G53	~9 (;5'3	59 053	59 053	source_code_matches_registry
01059055	84	12	59 455	~·9 L·5~	59 055	59 055	source_code_matches_registry
01059056	84	13	59 GE6	!>9 (;~6	59 056	59 056	source_code_matches_registry
01059057	84	14	89 C57	!'9 C57	59 057	59 057	source_code_matches_registry
01059058	84	15	59 CER	59 ('~I<	59 058	59 058	source_code_matches_registry
01059060	84	16	89 Poy	"!i9 ""6"""	59 060	59 060	source_code_matches_registry
01059062	84	17	50 662	'i9 ~ 6C:	59 62	59 062	source_code_matches_registry
01059063	84	18	89 ( 62	"!>9 ( t>""'"	59 C63	59 063	source_code_matches_registry
01059064	84	19	F9 C64	~9 Ct-4	59 064	59 064	source_code_matches_registry
01059065	84	20	. 59 C65	!•9 lb~	59 065	59 065	source_code_matches_registry
01059067	84	21	55 C67	0\9 Ot-7	59 067	59 067	source_code_matches_registry
01059068	84	22	59 (68	59 (611	59 668	59 068	source_code_matches_registry
01059069	84	23	' 69 C&O	59 C•f<l	59 G69	59 069	source_code_matches_registry
01059070	84	24	59 C70	.59 C70	59 070	59 070	source_code_matches_registry
01059071	84	25	, 59 (71	59 ('71	59 071	59 071	source_code_matches_registry
